batter_a,year,strikeout_mean.1.00,strikeout_mean.2.00,strikeout_mean.3.00,strikeout_mean.4.00,strikeout_mean.5.00,strikeout_mean.6.00,strikeout_mean.7.00,strikeout_mean.8.00,walk_mean.1.00,walk_mean.2.00,walk_mean.3.00,walk_mean.4.00,walk_mean.5.00,walk_mean.6.00,walk_mean.7.00,walk_mean.8.00
abrej003,"2,014.00",0.18,0.25,0.30,0.30,0.15,0.18,0.20,0.15,0.03,0.05,0.03,0.03,0.03,0.03,0.05,0.07
abrej003,"2,015.00",0.18,0.17,0.22,0.17,0.20,0.27,0.20,0.22,0.03,0.03,0.07,0.02,0.05,0.02,0.05,0.08
abrej003,"2,016.00",0.25,0.15,0.20,0.25,0.10,0.22,0.22,0.10,0.07,0.07,0.05,0.03,0.05,0.02,0.03,0.08
ackld001,"2,012.00",0.18,0.15,0.15,0.27,0.30,0.15,0.22,0.12,0.07,0.07,0.10,0.12,0.08,0.10,0.08,0.07
ackld001,"2,014.00",0.12,0.22,0.17,0.17,0.20,0.13,0.12,0.12,0.05,0.12,0.03,0.03,0.08,0.02,0.05,0.08
adamm002,"2,014.00",0.15,0.25,0.20,0.12,0.22,0.23,0.20,0.17,0.05,0.00,0.02,0.02,0.02,0.02,0.03,0.12
alony001,"2,012.00",0.17,0.13,0.18,0.23,0.13,0.12,0.15,0.13,0.10,0.08,0.12,0.07,0.02,0.15,0.02,0.02
alony001,"2,016.00",0.15,0.15,0.17,0.08,0.12,0.10,0.20,0.17,0.03,0.12,0.08,0.07,0.12,0.05,0.07,0.08
altuj001,"2,012.00",0.13,0.12,0.12,0.10,0.17,0.12,0.08,0.13,0.07,0.07,0.07,0.02,0.03,0.03,0.08,0.17
altuj001,"2,013.00",0.13,0.12,0.08,0.08,0.20,0.18,0.08,0.15,0.07,0.07,0.02,0.02,0.00,0.07,0.03,0.08
altuj001,"2,014.00",0.08,0.07,0.07,0.08,0.07,0.02,0.07,0.20,0.08,0.05,0.08,0.02,0.03,0.07,0.03,0.00
altuj001,"2,015.00",0.07,0.07,0.12,0.10,0.13,0.08,0.02,0.17,0.05,0.03,0.05,0.02,0.02,0.05,0.05,0.00
altuj001,"2,016.00",0.13,0.12,0.07,0.05,0.08,0.07,0.12,0.08,0.10,0.12,0.10,0.05,0.07,0.10,0.02,0.05
alvap001,"2,012.00",0.37,0.30,0.30,0.22,0.27,0.38,0.32,0.28,0.05,0.12,0.05,0.12,0.08,0.05,0.12,0.15
alvap001,"2,013.00",0.28,0.32,0.32,0.33,0.35,0.25,0.32,0.30,0.08,0.02,0.07,0.10,0.08,0.03,0.08,0.05
alvap001,"2,015.00",0.23,0.23,0.20,0.22,0.23,0.30,0.32,0.32,0.05,0.13,0.05,0.05,0.02,0.08,0.03,0.17
amara001,"2,014.00",0.20,0.17,0.12,0.05,0.22,0.13,0.07,0.18,0.12,0.03,0.03,0.05,0.03,0.07,0.03,0.03
andre001,"2,012.00",0.17,0.10,0.07,0.12,0.10,0.08,0.20,0.15,0.08,0.10,0.13,0.08,0.08,0.12,0.05,0.08
andre001,"2,013.00",0.10,0.12,0.15,0.15,0.12,0.18,0.13,0.13,0.10,0.00,0.07,0.08,0.07,0.07,0.10,0.08
andre001,"2,014.00",0.13,0.10,0.08,0.07,0.18,0.17,0.17,0.12,0.03,0.15,0.05,0.05,0.03,0.07,0.03,0.05
andre001,"2,015.00",0.15,0.10,0.13,0.18,0.13,0.10,0.13,0.15,0.00,0.13,0.12,0.08,0.05,0.05,0.03,0.03
andre001,"2,016.00",0.13,0.08,0.10,0.12,0.15,0.13,0.08,0.08,0.07,0.02,0.10,0.07,0.08,0.10,0.07,0.10
aokin001,"2,012.00",0.10,0.13,0.07,0.12,0.12,0.07,0.08,0.05,0.08,0.05,0.05,0.07,0.13,0.05,0.05,0.08
aokin001,"2,013.00",0.05,0.08,0.05,0.02,0.05,0.03,0.07,0.08,0.10,0.08,0.05,0.05,0.10,0.10,0.03,0.02
aokin001,"2,014.00",0.18,0.10,0.07,0.12,0.03,0.07,0.07,0.07,0.08,0.05,0.07,0.08,0.07,0.10,0.10,0.05
aokin001,"2,016.00",0.13,0.12,0.13,0.05,0.08,0.03,0.12,0.08,0.02,0.18,0.10,0.05,0.03,0.02,0.07,0.10
arenj001,"2,013.00",0.37,0.33,0.27,0.28,0.22,0.25,0.28,0.27,0.02,0.02,0.02,0.05,0.05,0.07,0.05,0.03
arenn001,"2,013.00",0.12,0.12,0.12,0.17,0.12,0.07,0.18,0.15,0.03,0.07,0.05,0.05,0.03,0.03,0.05,0.00
arenn001,"2,014.00",0.13,0.08,0.13,0.15,0.12,0.12,0.10,0.13,0.02,0.03,0.07,0.02,0.05,0.12,0.07,0.03
arenn001,"2,015.00",0.05,0.13,0.17,0.20,0.13,0.08,0.22,0.18,0.05,0.00,0.05,0.02,0.02,0.00,0.03,0.05
arenn001,"2,016.00",0.07,0.12,0.08,0.15,0.12,0.25,0.15,0.12,0.07,0.10,0.12,0.08,0.08,0.08,0.07,0.03
avilm001,"2,012.00",0.15,0.08,0.13,0.17,0.13,0.15,0.18,0.13,0.05,0.05,0.02,0.00,0.03,0.05,0.05,0.07
aybae001,"2,012.00",0.17,0.13,0.10,0.07,0.10,0.07,0.17,0.07,0.05,0.02,0.03,0.03,0.07,0.07,0.02,0.03
aybae001,"2,013.00",0.10,0.07,0.07,0.12,0.12,0.07,0.07,0.13,0.02,0.03,0.02,0.03,0.03,0.10,0.05,0.05
aybae001,"2,014.00",0.10,0.10,0.07,0.08,0.08,0.12,0.07,0.12,0.08,0.00,0.07,0.05,0.07,0.02,0.03,0.05
aybae001,"2,015.00",0.13,0.15,0.13,0.18,0.08,0.08,0.08,0.07,0.08,0.03,0.03,0.05,0.05,0.03,0.03,0.02
barmc001,"2,012.00",0.20,0.33,0.17,0.22,0.12,0.18,0.32,0.18,0.02,0.00,0.02,0.03,0.02,0.03,0.03,0.12
barnd001,"2,012.00",0.12,0.13,0.08,0.05,0.03,0.08,0.13,0.15,0.05,0.03,0.07,0.08,0.02,0.05,0.00,0.07
barnd001,"2,013.00",0.10,0.08,0.20,0.05,0.08,0.10,0.17,0.10,0.10,0.03,0.07,0.02,0.02,0.02,0.07,0.10
bautj002,"2,013.00",0.22,0.17,0.15,0.15,0.20,0.12,0.17,0.13,0.12,0.17,0.18,0.07,0.07,0.17,0.08,0.10
bautj002,"2,014.00",0.15,0.18,0.12,0.17,0.10,0.10,0.20,0.12,0.27,0.17,0.12,0.10,0.13,0.15,0.05,0.10
bautj002,"2,015.00",0.20,0.23,0.10,0.12,0.13,0.15,0.10,0.17,0.18,0.15,0.20,0.13,0.18,0.22,0.05,0.03
bautj002,"2,016.00",0.25,0.15,0.13,0.12,0.17,0.23,0.25,0.22,0.22,0.15,0.13,0.15,0.13,0.17,0.07,0.25
beckg001,"2,012.00",0.22,0.18,0.08,0.10,0.13,0.22,0.10,0.20,0.07,0.03,0.07,0.02,0.10,0.05,0.05,0.05
beckg001,"2,014.00",0.15,0.15,0.17,0.13,0.17,0.18,0.17,0.13,0.05,0.03,0.05,0.07,0.07,0.02,0.02,0.03
belta001,"2,012.00",0.07,0.10,0.12,0.20,0.08,0.12,0.12,0.10,0.05,0.02,0.02,0.05,0.07,0.05,0.03,0.08
belta001,"2,013.00",0.08,0.10,0.08,0.12,0.12,0.15,0.05,0.08,0.03,0.07,0.03,0.08,0.07,0.00,0.02,0.05
